SiteID,SiteName,Sponge %,Brittle on sponge,Hydro %,Brittle on hydro,Octo %,Brittle on octo,Hexa %,Brittle on hexa,Bare,Rock/zoo,Brittle on rock/zoo
4,Punta Dante,2,2,8,0,0,0,0,0,65,0,0
4,Punta Dante,4,1,1,0,0,0,3,0,50,0,0
4,Punta Dante,1,1,9,0,0,0,4,0,40,15,0
4,Punta Dante,2,1,10,1,0,0,3,0,55,20,0
4,Punta Dante,4,14,13,18,0,0,2,0,30,10,1
4,Punta Dante,1,0,10,7,0,0,5,0,5,85,4
1,Punta Coco,8,10,16,7,0,0,0,0,10,0,0
1,Punta Coco,6,9,16,19,0,0,7,0,30,0,0
1,Punta Coco,10,1,0,0,0,0,10,0,50,40,0
1,Punta Coco,4,2,16,7,0,0,2,0,30,0,0
1,Punta Coco,3,1,16,24,0,0,1,0,40,0,0
1,Punta Coco,5,4,10,0,0,0,0,0,65,0,0
1,Punta Coco,9,3,14,1,0,0,0,0,30,20,0
1,Punta Coco,8,25,4,8,1,0,1,0,20,0,0
1,Punta Coco,6,13,11,13,3,0,0,0,30,0,0
3,Casa Verde,1,0,0,0,4,5,0,0,70,0,0
3,Casa Verde,5,1,0,0,3,5,5,0,80,5,0
3,Casa Verde,1,0,2,0,8,6,2,0,50,0,0
3,Casa Verde,4,3,0,0,0,0,6,1,45,30,0
3,Casa Verde,2,6,0,0,0,0,13,0,30,0,0
3,Casa Verde,11,6,0,0,2,0,4,0,33,10,0
2,Punta Juan,5,1,6,0,0,0,4,0,50,0,0
2,Punta Juan,3,1,8,1,2,10,0,0,10,50,0
2,Punta Juan,1,2,4,8,5,1,0,0,0,60,0
2,Punta Juan,1,0,2,1,7,8,0,0,0,60,0
2,Punta Juan,4,3,2,0,7,0,0,0,5,40,0
2,Punta Juan,0,0,2,2,5,1,5,2,10,30,0
2,Punta Juan,3,5,3,2,0,0,7,0,20,15,0
2,Punta Juan,2,0,2,2,3,0,10,0,25,20,0
2,Punta Juan,3,5,3,1,4,0,4,0,35,25,0
2,Punta Juan,5,3,1,1,0,0,11,2,25,15,0
2,Punta Juan,1,2,11,3,0,0,1,0,35,5,0
