"SiteID","SiteName","Brittle.on.sponge","Brittle.on.hydro","Brittle.on.octo","Brittle.on.hexa","Bare","Rock.zoo","Brittle.on.rock.zoo","TotalCover","Sponge","Hydro","Octo","Hexa","Total.star","X.on.sponge","X.on.hydro","X.on.octo","X.on.hexa"
4,"Punta Dante",2,0,0,0,65,0,0,10,0.2,0.8,0,0,2,1,0,0,0
4,"Punta Dante",1,0,0,0,50,0,0,8,0.5,0.125,0,0.375,1,1,0,0,0
4,"Punta Dante",1,0,0,0,40,15,0,14,0.0714285714285714,0.642857142857143,0,0.285714285714286,1,1,0,0,0
4,"Punta Dante",1,1,0,0,55,20,0,15,0.133333333333333,0.666666666666667,0,0.2,2,0.5,0.5,0,0
4,"Punta Dante",14,18,0,0,30,10,1,19,0.210526315789474,0.684210526315789,0,0.105263157894737,32,0.4375,0.5625,0,0
4,"Punta Dante",0,7,0,0,5,85,4,16,0.0625,0.625,0,0.3125,7,0,1,0,0
1,"Punta Coco",10,7,0,0,10,0,0,24,0.333333333333333,0.666666666666667,0,0,17,0.588235294117647,0.411764705882353,0,0
1,"Punta Coco",9,19,0,0,30,0,0,29,0.206896551724138,0.551724137931034,0,0.241379310344828,28,0.321428571428571,0.678571428571429,0,0
1,"Punta Coco",1,0,0,0,50,40,0,20,0.5,0,0,0.5,1,1,0,0,0
1,"Punta Coco",2,7,0,0,30,0,0,22,0.181818181818182,0.727272727272727,0,0.0909090909090909,9,0.222222222222222,0.777777777777778,0,0
1,"Punta Coco",1,24,0,0,40,0,0,20,0.15,0.8,0,0.05,25,0.04,0.96,0,0
1,"Punta Coco",4,0,0,0,65,0,0,15,0.333333333333333,0.666666666666667,0,0,4,1,0,0,0
1,"Punta Coco",3,1,0,0,30,20,0,23,0.391304347826087,0.608695652173913,0,0,4,0.75,0.25,0,0
1,"Punta Coco",25,8,0,0,20,0,0,14,0.571428571428571,0.285714285714286,0.0714285714285714,0.0714285714285714,33,0.757575757575758,0.242424242424242,0,0
1,"Punta Coco",13,13,0,0,30,0,0,20,0.3,0.55,0.15,0,26,0.5,0.5,0,0
3,"Casa Verde",0,0,5,0,70,0,0,5,0.2,0,0.8,0,5,0,0,1,0
3,"Casa Verde",1,0,5,0,80,5,0,13,0.384615384615385,0,0.230769230769231,0.384615384615385,6,0.166666666666667,0,0.833333333333333,0
3,"Casa Verde",0,0,6,0,50,0,0,13,0.0769230769230769,0.153846153846154,0.615384615384615,0.153846153846154,6,0,0,1,0
3,"Casa Verde",3,0,0,1,45,30,0,10,0.4,0,0,0.6,4,0.75,0,0,0.25
3,"Casa Verde",6,0,0,0,30,0,0,15,0.133333333333333,0,0,0.866666666666667,6,1,0,0,0
3,"Casa Verde",6,0,0,0,33,10,0,17,0.647058823529412,0,0.117647058823529,0.235294117647059,6,1,0,0,0
2,"Punta Juan",1,0,0,0,50,0,0,15,0.333333333333333,0.4,0,0.266666666666667,1,1,0,0,0
2,"Punta Juan",1,1,10,0,10,50,0,13,0.230769230769231,0.615384615384615,0.153846153846154,0,12,0.0833333333333333,0.0833333333333333,0.833333333333333,0
2,"Punta Juan",2,8,1,0,0,60,0,10,0.1,0.4,0.5,0,11,0.181818181818182,0.727272727272727,0.0909090909090909,0
2,"Punta Juan",0,1,8,0,0,60,0,10,0.1,0.2,0.7,0,9,0,0.111111111111111,0.888888888888889,0
2,"Punta Juan",3,0,0,0,5,40,0,13,0.307692307692308,0.153846153846154,0.538461538461538,0,3,1,0,0,0
2,"Punta Juan",0,2,1,2,10,30,0,12,0,0.166666666666667,0.416666666666667,0.416666666666667,5,0,0.4,0.2,0.4
2,"Punta Juan",5,2,0,0,20,15,0,13,0.230769230769231,0.230769230769231,0,0.538461538461538,7,0.714285714285714,0.285714285714286,0,0
2,"Punta Juan",0,2,0,0,25,20,0,17,0.117647058823529,0.117647058823529,0.176470588235294,0.588235294117647,2,0,1,0,0
2,"Punta Juan",5,1,0,0,35,25,0,14,0.214285714285714,0.214285714285714,0.285714285714286,0.285714285714286,6,0.833333333333333,0.166666666666667,0,0
2,"Punta Juan",3,1,0,2,25,15,0,17,0.294117647058824,0.0588235294117647,0,0.647058823529412,6,0.5,0.166666666666667,0,0.333333333333333
2,"Punta Juan",2,3,0,0,35,5,0,13,0.0769230769230769,0.846153846153846,0,0.0769230769230769,5,0.4,0.6,0,0
